year,decade,temperature_anomaly
1880,1880,-0.18
1881,1880,-0.09
1882,1880,-0.12
1883,1880,-0.18
1884,1880,-0.29
1885,1880,-0.34
1886,1880,-0.32
1887,1880,-0.37
1888,1880,-0.18
1889,1880,-0.11
1890,1890,-0.36
1891,1890,-0.23
1892,1890,-0.28
1893,1890,-0.32
1894,1890,-0.31
1895,1890,-0.23
1896,1890,-0.12
1897,1890,-0.12
1898,1890,-0.28
1899,1890,-0.18
1900,1900,-0.09
1901,1900,-0.16
1902,1900,-0.29
1903,1900,-0.38
1904,1900,-0.48
1905,1900,-0.27
1906,1900,-0.23
1907,1900,-0.39
1908,1900,-0.43
1909,1900,-0.49
1910,1910,-0.44
1911,1910,-0.45
1912,1910,-0.37
1913,1910,-0.36
1914,1910,-0.17
1915,1910,-0.15
1916,1910,-0.37
1917,1910,-0.46
1918,1910,-0.3
1919,1910,-0.28
1920,1920,-0.28
1921,1920,-0.19
1922,1920,-0.29
1923,1920,-0.27
1924,1920,-0.27
1925,1920,-0.22
1926,1920,-0.11
1927,1920,-0.22
1928,1920,-0.2
1929,1920,-0.36
1930,1930,-0.16
1931,1930,-0.09
1932,1930,-0.16
1933,1930,-0.29
1934,1930,-0.13
1935,1930,-0.2
1936,1930,-0.15
1937,1930,-0.03
1938,1930,-0.01
1939,1930,-0.02
1940,1940,0.12
1941,1940,0.18
1942,1940,0.06
1943,1940,0.09
1944,1940,0.2
1945,1940,0.09
1946,1940,-0.07
1947,1940,-0.03
1948,1940,-0.11
1949,1940,-0.11
1950,1950,-0.18
1951,1950,-0.07
1952,1950,0.01
1953,1950,0.08
1954,1950,-0.13
1955,1950,-0.14
1956,1950,-0.19
1957,1950,0.05
1958,1950,0.06
1959,1950,0.03
1960,1960,-0.02
1961,1960,0.06
1962,1960,0.03
1963,1960,0.05
1964,1960,-0.2
1965,1960,-0.11
1966,1960,-0.06
1967,1960,-0.02
1968,1960,-0.08
1969,1960,0.05
1970,1970,0.03
1971,1970,-0.08
1972,1970,0.01
1973,1970,0.16
1974,1970,-0.07
1975,1970,-0.01
1976,1970,-0.1
1977,1970,0.18
1978,1970,0.07
1979,1970,0.16
1980,1980,0.26
1981,1980,0.32
1982,1980,0.14
1983,1980,0.31
1984,1980,0.16
1985,1980,0.12
1986,1980,0.18
1987,1980,0.32
1988,1980,0.39
1989,1980,0.27
1990,1990,0.45
1991,1990,0.41
1992,1990,0.22
1993,1990,0.23
1994,1990,0.32
1995,1990,0.45
1996,1990,0.33
1997,1990,0.47
1998,1990,0.61
1999,1990,0.38
2000,2000,0.39
2001,2000,0.53
2002,2000,0.63
2003,2000,0.62
2004,2000,0.53
2005,2000,0.68
2006,2000,0.64
2007,2000,0.66
2008,2000,0.54
2009,2000,0.66
2010,2010,0.72
2011,2010,0.61
2012,2010,0.65
2013,2010,0.68
2014,2010,0.75
2015,2010,0.9
2016,2010,1.01
2017,2010,0.92
2018,2010,0.85
2019,2010,0.98
2020,2020,1.01
2021,2020,0.85
2022,2020,0.89
2023,2020,1.17
2024,2020,1.29
2025,2020,1.19
