year,temperature_anomaly,prediction_year_linear,prediction_cumulative_co2_linear
1970,0.03,-0.025207729468618822,0.022387969213978676
1971,-0.08,-0.007920509442264745,0.03361991036597528
1972,0.01,0.009366710584082227,0.045374008045049874
1973,0.16,0.026653930610436305,0.057745845560435605
1974,-0.07,0.04394115063678328,0.07006017820036042
1975,-0.01,0.061228370663137355,0.08236767337033707
1976,-0.1,0.07851559068948433,0.09530837128810749
1977,0.18,0.0958028107158384,0.10860804000046181
1978,0.07,0.11309003074218538,0.12239078922229918
1979,0.16,0.13037725076853945,0.13652399681321825
1980,0.26,0.14766447079488643,0.1505856630823696
1981,0.32,0.1649516908212405,0.16426327479348246
1982,0.14,0.18223891084759458,0.17783226215949283
1983,0.31,0.19952613087394155,0.19152590186224927
1984,0.16,0.21681335090029563,0.20562193514765376
1985,0.12,0.2341005709266426,0.2202161264403757
1986,0.18,0.2513877909529967,0.23502272122315293
1987,0.32,0.26867501097934365,0.250313346284761
1988,0.39,0.28596223100569773,0.26619259651407723
1989,0.27,0.3032494510320447,0.28227582836566467
1990,0.45,0.3205366710583988,0.29874442894889575
1991,0.41,0.33782389108474575,0.31555597088614373
1992,0.22,0.35511111111109983,0.33187112177826994
1993,0.23,0.3723983311374468,0.3483525808330108
1994,0.32,0.3896855511638009,0.3649967728316551
1995,0.45,0.40697277119014785,0.38203371292927624
1996,0.33,0.42425999121650193,0.39958991098253416
1997,0.47,0.4415472112428489,0.41725256072012173
1998,0.61,0.458834431269203,0.43485385651699804
1999,0.38,0.47612165129554995,0.4528478562206846
2000,0.39,0.49340887132190403,0.47132991638388855
2001,0.53,0.510696091348251,0.48994355763596653
2002,0.63,0.5279833113746051,0.5089717264804574
2003,0.62,0.545270531400952,0.5290050859959577
2004,0.53,0.5625577514273061,0.5497319365167365
2005,0.68,0.5798449714536602,0.5711752797031934
2006,0.64,0.5971321914800072,0.5933395528835156
2007,0.66,0.6144194115063613,0.6161595545006648
2008,0.54,0.6317066315327082,0.6393782817506479
2009,0.66,0.6489938515590623,0.6622083352745073
2010,0.72,0.6662810715854093,0.6863455894592695
2011,0.61,0.6835682916117634,0.7113251209801631
2012,0.65,0.7008555116381103,0.7366484095989984
2013,0.68,0.7181427316644644,0.7622044315533735
2014,0.75,0.7354299516908114,0.7878980106815564
2015,0.9,0.7527171717171655,0.813546492066121
2016,1.01,0.7700043917435124,0.8391871854869281
2017,0.92,0.7872916117698665,0.8652494250855324
2018,0.85,0.8045788317962135,0.8918618028216486
2019,0.98,0.8218660518225676,0.9187296438805502
2020,1.01,0.8391532718489145,0.944200451022185
2021,0.85,0.8564404918752686,0.9709090916126512
2022,0.89,0.8737277119016156,0.9980965108587593
2023,1.17,0.8910149319279697,1.0256942471256192
2024,1.29,0.9083021519543166,1.053657383785049
