scenario,year,co2,cumulative_co2,temperature_prediction
Xu hướng hiện tại,2025,39095.557,1888219.432,1.082
Xu hướng hiện tại,2026,39506.63,1927726.062,1.1106
Xu hướng hiện tại,2027,39917.702,1967643.764,1.1395
Xu hướng hiện tại,2028,40328.774,2007972.538,1.1687
Xu hướng hiện tại,2029,40739.847,2048712.385,1.1983
Xu hướng hiện tại,2030,41150.919,2089863.304,1.2281
Xu hướng hiện tại,2031,41561.991,2131425.295,1.2582
Xu hướng hiện tại,2032,41973.063,2173398.358,1.2886
Xu hướng hiện tại,2033,42384.136,2215782.494,1.3193
Xu hướng hiện tại,2034,42795.208,2258577.702,1.3503
Xu hướng hiện tại,2035,43206.28,2301783.982,1.3816
Xu hướng hiện tại,2036,43617.353,2345401.335,1.4132
Xu hướng hiện tại,2037,44028.425,2389429.76,1.4451
Xu hướng hiện tại,2038,44439.497,2433869.257,1.4773
Xu hướng hiện tại,2039,44850.57,2478719.827,1.5098
Xu hướng hiện tại,2040,45261.642,2523981.469,1.5426
Xu hướng hiện tại,2041,45672.714,2569654.183,1.5757
Xu hướng hiện tại,2042,46083.786,2615737.969,1.609
Xu hướng hiện tại,2043,46494.859,2662232.828,1.6427
Xu hướng hiện tại,2044,46905.931,2709138.759,1.6767
Xu hướng hiện tại,2045,47317.003,2756455.763,1.711
Xu hướng hiện tại,2046,47728.076,2804183.838,1.7456
Xu hướng hiện tại,2047,48139.148,2852322.986,1.7804
Xu hướng hiện tại,2048,48550.22,2900873.207,1.8156
Xu hướng hiện tại,2049,48961.293,2949834.499,1.8511
Xu hướng hiện tại,2050,49372.365,2999206.864,1.8868
Giữ ổn định,2025,38598.578,1887722.453,1.0816
Giữ ổn định,2026,38598.578,1926321.031,1.1096
Giữ ổn định,2027,38598.578,1964919.609,1.1375
Giữ ổn định,2028,38598.578,2003518.187,1.1655
Giữ ổn định,2029,38598.578,2042116.765,1.1935
Giữ ổn định,2030,38598.578,2080715.343,1.2214
Giữ ổn định,2031,38598.578,2119313.921,1.2494
Giữ ổn định,2032,38598.578,2157912.499,1.2774
Giữ ổn định,2033,38598.578,2196511.077,1.3053
Giữ ổn định,2034,38598.578,2235109.655,1.3333
Giữ ổn định,2035,38598.578,2273708.233,1.3613
Giữ ổn định,2036,38598.578,2312306.811,1.3892
Giữ ổn định,2037,38598.578,2350905.389,1.4172
Giữ ổn định,2038,38598.578,2389503.967,1.4451
Giữ ổn định,2039,38598.578,2428102.545,1.4731
Giữ ổn định,2040,38598.578,2466701.123,1.5011
Giữ ổn định,2041,38598.578,2505299.701,1.529
Giữ ổn định,2042,38598.578,2543898.279,1.557
Giữ ổn định,2043,38598.578,2582496.857,1.585
Giữ ổn định,2044,38598.578,2621095.435,1.6129
Giữ ổn định,2045,38598.578,2659694.013,1.6409
Giữ ổn định,2046,38598.578,2698292.591,1.6688
Giữ ổn định,2047,38598.578,2736891.169,1.6968
Giữ ổn định,2048,38598.578,2775489.747,1.7248
Giữ ổn định,2049,38598.578,2814088.325,1.7527
Giữ ổn định,2050,38598.578,2852686.903,1.7807
Giảm 3% mỗi năm,2025,37440.621,1886564.496,1.0808
Giảm 3% mỗi năm,2026,36317.402,1922881.898,1.1071
Giảm 3% mỗi năm,2027,35227.88,1958109.778,1.1326
Giảm 3% mỗi năm,2028,34171.044,1992280.821,1.1574
Giảm 3% mỗi năm,2029,33145.912,2025426.734,1.1814
Giảm 3% mỗi năm,2030,32151.535,2057578.268,1.2047
Giảm 3% mỗi năm,2031,31186.989,2088765.257,1.2273
Giảm 3% mỗi năm,2032,30251.379,2119016.636,1.2492
Giảm 3% mỗi năm,2033,29343.838,2148360.474,1.2704
Giảm 3% mỗi năm,2034,28463.523,2176823.997,1.2911
Giảm 3% mỗi năm,2035,27609.617,2204433.614,1.3111
Giảm 3% mỗi năm,2036,26781.328,2231214.942,1.3305
Giảm 3% mỗi năm,2037,25977.889,2257192.831,1.3493
Giảm 3% mỗi năm,2038,25198.552,2282391.383,1.3675
Giảm 3% mỗi năm,2039,24442.595,2306833.979,1.3853
Giảm 3% mỗi năm,2040,23709.318,2330543.296,1.4024
Giảm 3% mỗi năm,2041,22998.038,2353541.334,1.4191
Giảm 3% mỗi năm,2042,22308.097,2375849.431,1.4352
Giảm 3% mỗi năm,2043,21638.854,2397488.285,1.4509
Giảm 3% mỗi năm,2044,20989.688,2418477.973,1.4661
Giảm 3% mỗi năm,2045,20359.998,2438837.971,1.4809
Giảm 3% mỗi năm,2046,19749.198,2458587.169,1.4952
Giảm 3% mỗi năm,2047,19156.722,2477743.891,1.5091
Giảm 3% mỗi năm,2048,18582.02,2496325.911,1.5225
Giảm 3% mỗi năm,2049,18024.56,2514350.47,1.5356
Giảm 3% mỗi năm,2050,17483.823,2531834.293,1.5483
