year,decade,temperature_anomaly,co2,co2_per_capita,population,cumulative_co2
1970,1970,0.03,14899.139,4.033,3694683794.0,425626.469
1971,1970,-0.08,15503.862,4.113,3769847867.0,441130.312
1972,1970,0.01,16224.579,4.22,3844917684.0,457354.906
1973,1970,0.16,17077.285,4.356,3920805041.0,474432.188
1974,1970,-0.07,16997.912,4.253,3996416100.0,491430.094
1975,1970,-0.01,16988.477,4.173,4070735279.0,508418.562
1976,1970,-0.1,17862.492,4.31,4144246382.0,526281.062
1977,1970,0.18,18358.039,4.352,4217863796.0,544639.062
1978,1970,0.07,19024.742,4.433,4292097499.0,563663.875
1979,1970,0.16,19508.59,4.466,4368539520.0,583172.438
1980,1980,0.26,19409.793,4.364,4447606240.0,602582.25
1981,1980,0.32,18879.756,4.169,4528777306.0,621461.938
1982,1980,0.14,18729.742,4.06,4612673415.0,640191.688
1983,1980,0.31,18901.775,4.024,4697327573.0,659093.5
1984,1980,0.16,19457.25,4.069,4782175518.0,678550.75
1985,1980,0.12,20144.863,4.137,4868943457.0,698695.625
1986,1980,0.18,20438.045,4.122,4958072839.0,719133.688
1987,1980,0.32,21106.189,4.18,5049746390.0,740239.875
1988,1980,0.39,21918.756,4.263,5141992540.0,762158.562
1989,1980,0.27,22200.213,4.241,5234431736.0,784358.812
1990,1990,0.45,22732.145,4.267,5327803106.0,807091.0
1991,1990,0.41,23205.592,4.282,5418735886.0,830296.562
1992,1990,0.22,22520.424,4.09,5505989815.0,852816.938
1993,1990,0.23,22749.873,4.069,5591544802.0,875566.875
1994,1990,0.32,22974.598,4.048,5675551258.0,898541.438
1995,1990,0.45,23516.639,4.084,5758878977.0,922058.125
1996,1990,0.33,24233.477,4.148,5842055730.0,946291.562
1997,1990,0.47,24380.322,4.115,5924787819.0,970671.938
1998,1990,0.61,24295.713,4.045,6007066691.0,994967.625
1999,1990,0.38,24837.771,4.079,6089006328.0,1019805.375
2000,2000,0.39,25511.482,4.134,6171702992.0,1045316.812
2001,2000,0.53,25692.994,4.108,6254936464.0,1071009.875
2002,2000,0.63,26265.332,4.144,6337730343.0,1097275.125
2003,2000,0.62,27652.691,4.307,6420361633.0,1124927.875
2004,2000,0.53,28610.023,4.399,6503377774.0,1153537.875
2005,2000,0.68,29598.951,4.494,6586970132.0,1183136.875
2006,2000,0.64,30594.152,4.586,6671452019.0,1213731.0
2007,2000,0.66,31499.256,4.662,6757308776.0,1245230.25
2008,2000,0.54,32049.66,4.683,6844457659.0,1277279.875
2009,2000,0.66,31513.014,4.546,6932766416.0,1308793.0
2010,2010,0.72,33317.672,4.745,7021732143.0,1342110.5
2011,2010,0.61,34479.988,4.849,7110923773.0,1376590.625
2012,2010,0.65,34954.734,4.854,7201202478.0,1411545.25
2013,2010,0.68,35275.82,4.838,7291793585.0,1446821.125
2014,2010,0.75,35465.695,4.805,7381616239.0,1482286.875
2015,2010,0.9,35403.527,4.739,7470491876.0,1517690.375
2016,2010,1.01,35392.832,4.682,7558554527.0,1553083.125
2017,2010,0.92,35974.609,4.705,7645617952.0,1589057.75
2018,2010,0.85,36734.004,4.752,7729902779.0,1625791.75
2019,2010,0.98,37086.566,4.748,7811293699.0,1662878.375
2020,2020,1.01,35158.23,4.458,7887001289.0,1698036.625
2021,2020,0.85,36866.863,4.635,7954448387.0,1734903.5
2022,2020,0.89,37527.773,4.678,8021407196.0,1772431.25
2023,2020,1.17,38094.039,4.708,8091734933.0,1810525.375
2024,2020,1.29,38598.578,4.729,8161972574.0,1849123.875
