year,decade,co2,co2_per_capita,population,cumulative_co2
1750,1750,9.306,0.012,753279296.0,9.306
1751,1750,9.407,,,18.713
1752,1750,9.505,,,28.218
1753,1750,9.61,,,37.829
1754,1750,9.734,,,47.562
1755,1750,9.793,,,57.356
1756,1750,9.91,,,67.266
1757,1750,10.094,,,77.36
1758,1750,10.216,,,87.576
1759,1750,10.339,,,97.915
1760,1760,10.514,0.013,788254976.0,108.429
1761,1760,10.748,,,119.177
1762,1760,10.952,,,130.129
1763,1760,11.192,,,141.321
1764,1760,11.397,,,152.718
1765,1760,11.643,,,164.361
1766,1760,11.876,,,176.237
1767,1760,12.153,,,188.39
1768,1760,12.467,,,200.857
1769,1760,12.78,,,213.637
1770,1770,13.097,0.016,827951488.0,226.734
1771,1770,13.369,,,240.104
1772,1770,13.624,,,253.727
1773,1770,13.808,,,267.535
1774,1770,14.012,,,281.548
1775,1770,14.339,,,295.887
1776,1770,14.654,,,310.541
1777,1770,14.96,,,325.5
1778,1770,15.243,,,340.744
1779,1770,15.535,,,356.279
1780,1780,15.879,0.018,900945152.0,372.158
1781,1780,16.234,,,388.392
1782,1780,16.581,,,404.973
1783,1780,17.063,,,422.036
1784,1780,17.471,,,439.507
1785,1780,17.965,,,457.472
1786,1780,18.447,,,475.92
1787,1780,18.859,,,494.779
1788,1780,19.286,,,514.065
1789,1780,19.863,,,533.928
1790,1790,20.398,0.022,942261696.0,554.326
1791,1790,20.932,,,575.258
1792,1790,21.929,,,597.187
1793,1790,22.297,,,619.485
1794,1790,22.52,,,642.004
1795,1790,22.315,,,664.32
1796,1790,22.121,,,686.441
1797,1790,22.09,,,708.531
1798,1790,23.106,,,731.637
1799,1790,27.485,,,759.122
1800,1800,32.798,0.033,983104755.0,791.921
1801,1800,31.986,0.032,986464967.0,823.907
1802,1800,40.31,0.041,989864750.0,864.217
1803,1800,29.539,0.03,993304404.0,893.756
1804,1800,31.769,0.032,996784263.0,925.525
1805,1800,31.252,0.031,1000304675.0,956.777
1806,1800,32.705,0.033,1003866016.0,989.481
1807,1800,36.201,0.036,1007468698.0,1025.682
1808,1800,35.498,0.035,1011113144.0,1061.18
1809,1800,36.334,0.036,1014799822.0,1097.513
1810,1810,39.492,0.039,1020150076.0,1137.006
1811,1810,40.177,0.039,1025557675.0,1177.182
1812,1810,40.815,0.04,1031616616.0,1217.997
1813,1810,41.206,0.04,1038342722.0,1259.203
1814,1810,42.227,0.04,1045238421.0,1301.43
1815,1810,43.587,0.041,1052307852.0,1345.017
1816,1810,45.497,0.043,1059555372.0,1390.514
1817,1810,49.276,0.046,1066985519.0,1439.789
1818,1810,51.392,0.048,1074603043.0,1491.182
1819,1810,50.93,0.047,1082114553.0,1542.112
1820,1820,50.733,0.047,1089507052.0,1592.845
1821,1820,52.059,0.047,1096534977.0,1644.904
1822,1820,54.022,0.049,1103392066.0,1698.926
1823,1820,56.358,0.051,1110594705.0,1755.284
1824,1820,57.584,0.052,1117897019.0,1812.867
1825,1820,60.731,0.054,1125304048.0,1873.598
1826,1820,61.382,0.054,1132861806.0,1934.98
1827,1820,65.739,0.058,1140524282.0,2000.719
1828,1820,66.682,0.058,1148292956.0,2067.401
1829,1820,66.307,0.057,1155618460.0,2133.708
1830,1830,88.988,0.077,1162497339.0,2222.697
1831,1830,83.251,0.071,1168886301.0,2305.947
1832,1830,82.092,0.07,1174792985.0,2388.039
1833,1830,83.249,0.071,1180213555.0,2471.288
1834,1830,88.763,0.075,1185694036.0,2560.051
1835,1830,97.4,0.082,1191237685.0,2657.451
1836,1830,106.894,0.089,1196838401.0,2764.345
1837,1830,106.199,0.088,1202503348.0,2870.545
1838,1830,105.845,0.088,1208233715.0,2976.39
1839,1830,109.653,0.09,1213934891.0,3086.043
1840,1840,118.809,0.097,1219617217.0,3204.852
1841,1840,122.166,0.1,1225283810.0,3327.017
1842,1840,129.389,0.105,1230929323.0,3456.406
1843,1840,132.369,0.107,1236555463.0,3588.775
1844,1840,141.966,0.114,1242258939.0,3730.742
1845,1840,155.073,0.124,1248042343.0,3885.815
1846,1840,157.702,0.126,1253907423.0,4043.517
1847,1840,170.797,0.136,1259855932.0,4214.313
1848,1840,173.643,0.137,1265889730.0,4387.957
1849,1840,185.048,0.146,1271136843.0,4573.005
1850,1850,196.848,0.154,1275602897.0,4769.853
1851,1850,198.779,0.155,1278768180.0,4968.631
1852,1850,207.595,0.162,1281158448.0,5176.226
1853,1850,217.237,0.169,1282781891.0,5393.463
1854,1850,255.039,0.199,1284514999.0,5648.502
1855,1850,260.26,0.202,1286359120.0,5908.762
1856,1850,278.246,0.216,1288315736.0,6187.007
1857,1850,281.181,0.218,1290386388.0,6468.188
1858,1850,285.548,0.221,1292572700.0,6753.737
1859,1850,302.572,0.234,1295121860.0,7056.309
1860,1860,332.298,0.256,1298027373.0,7388.607
1861,1860,349.19,0.268,1301279942.0,7737.798
1862,1860,355.991,0.273,1304883100.0,8093.789
1863,1860,379.535,0.29,1308825538.0,8473.323
1864,1860,409.525,0.312,1312850777.0,8882.849
1865,1860,434.851,0.33,1316952210.0,9317.7
1866,1860,449.067,0.34,1321129252.0,9766.768
1867,1860,480.814,0.363,1325389634.0,10247.581
1868,1860,494.494,0.372,1329732282.0,10742.074
1869,1860,524.731,0.393,1334654211.0,11266.806
1870,1870,536.123,0.4,1340168478.0,11802.929
1871,1870,569.777,0.423,1346202715.0,12372.705
1872,1870,630.961,0.466,1352896118.0,13003.667
1873,1870,670.467,0.493,1360163018.0,13674.135
1874,1870,628.662,0.46,1367501771.0,14302.797
1875,1870,681.048,0.495,1374940414.0,14983.845
1876,1870,690.583,0.5,1382459121.0,15674.428
1877,1870,704.033,0.506,1390028839.0,16378.46
1878,1870,709.65,0.508,1397666358.0,17088.109
1879,1870,759.794,0.54,1405838237.0,17847.904
1880,1880,858.228,0.607,1414583216.0,18706.131
1881,1880,888.173,0.624,1423919001.0,19594.303
1882,1880,938.158,0.654,1433850986.0,20532.461
1883,1880,997.862,0.691,1444371648.0,21530.324
1884,1880,1009.762,0.694,1455021634.0,22540.088
1885,1880,1017.489,0.694,1465857041.0,23557.576
1886,1880,1032.987,0.699,1476798447.0,24590.562
1887,1880,1084.283,0.729,1487893376.0,25674.846
1888,1880,1201.342,0.801,1499115427.0,26876.189
1889,1880,1202.098,0.796,1510109709.0,28078.285
1890,1890,1307.255,0.86,1520891633.0,29385.541
1891,1890,1369.598,0.894,1531425085.0,30755.139
1892,1890,1380.536,0.895,1541712153.0,32135.676
1893,1890,1363.18,0.878,1551756342.0,33498.855
1894,1890,1412.227,0.904,1561938512.0,34911.086
1895,1890,1495.964,0.951,1572272041.0,36407.047
1896,1890,1545.451,0.976,1582693744.0,37952.496
1897,1890,1618.405,1.016,1593261169.0,39570.902
1898,1890,1706.967,1.064,1603953574.0,41277.871
1899,1890,1864.424,1.154,1615300901.0,43142.293
1900,1900,1962.884,1.206,1627273655.0,45105.176
1901,1900,2025.628,1.235,1639887187.0,47130.805
1902,1900,2076.956,1.256,1653151632.0,49207.762
1903,1900,2264.592,1.358,1667064512.0,51472.352
1904,1900,2290.255,1.362,1681154888.0,53762.609
1905,1900,2440.571,1.44,1695427510.0,56203.18
1906,1900,2548.978,1.491,1709887300.0,58752.156
1907,1900,2904.949,1.684,1724558347.0,61657.105
1908,1900,2790.395,1.604,1739441480.0,64447.5
1909,1900,2907.112,1.658,1753729257.0,67354.609
1910,1910,3050.273,1.726,1767417985.0,70404.883
1911,1910,3097.207,1.74,1780422213.0,73502.094
1912,1910,3253.929,1.815,1792912374.0,76756.023
1913,1910,3524.846,1.953,1804803374.0,80280.867
1914,1910,3197.75,1.76,1816884694.0,83478.617
1915,1910,3148.031,1.721,1829102909.0,86626.648
1916,1910,3400.232,1.847,1841395693.0,90026.875
1917,1910,3556.499,1.919,1853777065.0,93583.375
1918,1910,3506.085,1.878,1866778878.0,97089.461
1919,1910,3041.113,1.617,1880624916.0,100130.578
1920,1920,3546.758,1.871,1895426673.0,103677.336
1921,1920,3114.994,1.63,1910916276.0,106792.328
1922,1920,3264.717,1.694,1927207651.0,110057.047
1923,1920,3702.996,1.905,1944216846.0,113760.039
1924,1920,3716.143,1.895,1961489200.0,117476.18
1925,1920,3740.633,1.89,1979027667.0,121216.82
1926,1920,3677.407,1.842,1996813608.0,124894.227
1927,1920,4012.947,1.992,2014848732.0,128907.172
1928,1920,3996.311,1.966,2033160306.0,132903.484
1929,1920,4288.21,2.09,2052125441.0,137191.688
1930,1930,3958.094,1.91,2071786711.0,141149.781
1931,1930,3539.319,1.692,2092158599.0,144689.109
1932,1930,3192.59,1.511,2113215566.0,147881.688
1933,1930,3362.682,1.575,2134919626.0,151244.375
1934,1930,3656.186,1.695,2156892673.0,154900.562
1935,1930,3835.741,1.76,2179140887.0,158736.297
1936,1930,4207.929,1.911,2201762907.0,162944.234
1937,1930,4496.713,2.021,2224730578.0,167440.938
1938,1930,4229.617,1.881,2248127325.0,171670.562
1939,1930,4470.132,1.969,2270675197.0,176140.703
1940,1940,4884.662,2.131,2291979566.0,181025.359
1941,1940,4999.09,2.162,2312098978.0,186024.438
1942,1940,4982.523,2.137,2331135363.0,191006.969
1943,1940,5075.272,2.161,2349014611.0,196082.234
1944,1940,5162.486,2.181,2366918849.0,201244.719
1945,1940,4289.312,1.799,2384671779.0,205534.031
1946,1940,4608.545,1.918,2402301767.0,210142.578
1947,1940,5165.204,2.133,2421291820.0,215307.781
1948,1940,5447.883,2.231,2441897177.0,220755.672
1949,1940,5204.033,2.109,2467923023.0,225959.703
1950,1950,5930.406,2.379,2493092852.0,231890.109
1951,1950,6381.651,2.516,2536927034.0,238271.75
1952,1950,6467.7,2.503,2584086340.0,244739.453
1953,1950,6651.039,2.525,2634106241.0,251390.484
1954,1950,6789.734,2.528,2685894857.0,258180.234
1955,1950,7444.103,2.717,2740213796.0,265624.344
1956,1950,7926.275,2.835,2795409991.0,273550.594
1957,1950,8185.976,2.87,2852618331.0,281736.562
1958,1950,8417.517,2.891,2911249671.0,290154.094
1959,1950,8855.112,2.986,2965950350.0,299009.219
1960,1960,9386.951,3.113,3015470889.0,308396.156
1961,1960,9414.99,3.072,3064869675.0,317811.156
1962,1960,9747.241,3.121,3123374312.0,327558.406
1963,1960,10266.777,3.216,3192807826.0,337825.156
1964,1960,10824.47,3.316,3264487343.0,348649.656
1965,1960,11310.603,3.392,3334533710.0,359960.25
1966,1960,11862.625,3.485,3404041131.0,371822.875
1967,1960,12237.371,3.523,3473412877.0,384060.219
1968,1960,12905.273,3.64,3545187246.0,396965.5
1969,1960,13761.798,3.802,3619491581.0,410727.312
1970,1970,14899.139,4.033,3694683794.0,425626.469
1971,1970,15503.862,4.113,3769847867.0,441130.312
1972,1970,16224.579,4.22,3844917684.0,457354.906
1973,1970,17077.285,4.356,3920805041.0,474432.188
1974,1970,16997.912,4.253,3996416100.0,491430.094
1975,1970,16988.477,4.173,4070735279.0,508418.562
1976,1970,17862.492,4.31,4144246382.0,526281.062
1977,1970,18358.039,4.352,4217863796.0,544639.062
1978,1970,19024.742,4.433,4292097499.0,563663.875
1979,1970,19508.59,4.466,4368539520.0,583172.438
1980,1980,19409.793,4.364,4447606240.0,602582.25
1981,1980,18879.756,4.169,4528777306.0,621461.938
1982,1980,18729.742,4.06,4612673415.0,640191.688
1983,1980,18901.775,4.024,4697327573.0,659093.5
1984,1980,19457.25,4.069,4782175518.0,678550.75
1985,1980,20144.863,4.137,4868943457.0,698695.625
1986,1980,20438.045,4.122,4958072839.0,719133.688
1987,1980,21106.189,4.18,5049746390.0,740239.875
1988,1980,21918.756,4.263,5141992540.0,762158.562
1989,1980,22200.213,4.241,5234431736.0,784358.812
1990,1990,22732.145,4.267,5327803106.0,807091.0
1991,1990,23205.592,4.282,5418735886.0,830296.562
1992,1990,22520.424,4.09,5505989815.0,852816.938
1993,1990,22749.873,4.069,5591544802.0,875566.875
1994,1990,22974.598,4.048,5675551258.0,898541.438
1995,1990,23516.639,4.084,5758878977.0,922058.125
1996,1990,24233.477,4.148,5842055730.0,946291.562
1997,1990,24380.322,4.115,5924787819.0,970671.938
1998,1990,24295.713,4.045,6007066691.0,994967.625
1999,1990,24837.771,4.079,6089006328.0,1019805.375
2000,2000,25511.482,4.134,6171702992.0,1045316.812
2001,2000,25692.994,4.108,6254936464.0,1071009.875
2002,2000,26265.332,4.144,6337730343.0,1097275.125
2003,2000,27652.691,4.307,6420361633.0,1124927.875
2004,2000,28610.023,4.399,6503377774.0,1153537.875
2005,2000,29598.951,4.494,6586970132.0,1183136.875
2006,2000,30594.152,4.586,6671452019.0,1213731.0
2007,2000,31499.256,4.662,6757308776.0,1245230.25
2008,2000,32049.66,4.683,6844457659.0,1277279.875
2009,2000,31513.014,4.546,6932766416.0,1308793.0
2010,2010,33317.672,4.745,7021732143.0,1342110.5
2011,2010,34479.988,4.849,7110923773.0,1376590.625
2012,2010,34954.734,4.854,7201202478.0,1411545.25
2013,2010,35275.82,4.838,7291793585.0,1446821.125
2014,2010,35465.695,4.805,7381616239.0,1482286.875
2015,2010,35403.527,4.739,7470491876.0,1517690.375
2016,2010,35392.832,4.682,7558554527.0,1553083.125
2017,2010,35974.609,4.705,7645617952.0,1589057.75
2018,2010,36734.004,4.752,7729902779.0,1625791.75
2019,2010,37086.566,4.748,7811293699.0,1662878.375
2020,2020,35158.23,4.458,7887001289.0,1698036.625
2021,2020,36866.863,4.635,7954448387.0,1734903.5
2022,2020,37527.773,4.678,8021407196.0,1772431.25
2023,2020,38094.039,4.708,8091734933.0,1810525.375
2024,2020,38598.578,4.729,8161972574.0,1849123.875
